nct_id,nct_date,nct_year
NCT01554566,Jan-10,2010
NCT01554618,4-Jan-16,2016
NCT01555008,Mar-12,2012
NCT01555164,Jun-12,2012
NCT01556529,Jun-07,2007
NCT01556984,Oct-12,2012
NCT01557504,Jul-12,2012
NCT01557634,Dec-12,2012
NCT01558271,Mar-12,2012
NCT01559025,Mar-14,2014
NCT01559181,Apr-12,2012
NCT01560546,Mar-12,2012
NCT01560676,Sep-09,2009
NCT01561508,Jun-12,2012
NCT01562561,1-Jun-01,2001
NCT01562678,Mar-12,2012
NCT01563120,Jan-12,2012
NCT01563887,Feb-12,2012
NCT01564485,Jul-08,2008
NCT01564550,Nov-12,2012
NCT01564797,Jul-08,2008
NCT01565317,Apr-12,2012
NCT01565564,Sep-10,2010
NCT01565733,Jan-07,2007
NCT01565824,Nov-11,2011
NCT01566110,Mar-12,2012
NCT01566981,Mar-12,2012
NCT01567254,Apr-12,2012
NCT01568125,Jan-10,2010
NCT01569841,Apr-12,2012
NCT01569893,Mar-12,2012
NCT01570140,May-12,2012
NCT01570751,Apr-12,2012
NCT01570946,May-12,2012
NCT01571622,Apr-12,2012
NCT01571661,Sep-04,2004
NCT01572389,1-Nov-12,2012
NCT01572402,Jan-12,2012
NCT01572415,Sep-11,2011
NCT01572610,Feb-12,2012
NCT01572649,May-12,2012
NCT01572740,Apr-12,2012
NCT01573949,Dec-11,2011
NCT01574365,Feb-12,2012
NCT01574820,Nov-06,2006
NCT01575301,Mar-11,2011
NCT01575379,Sep-12,2012
NCT01576328,Apr-12,2012
NCT01576887,Jul-12,2012
NCT01578096,May-12,2012
NCT01578837,Apr-12,2012
NCT01579292,May-12,2012
NCT01580098,Feb-10,2010
NCT01580462,Apr-12,2012
NCT01580475,Sep-08,2008
NCT01580813,Jun-11,2011
NCT01580852,Jul-12,2012
NCT01581476,Jan-09,2009
NCT01581658,Apr-12,2012
NCT01582139,May-12,2012
NCT01582230,Apr-12,2012
NCT01582243,Apr-13,2013
NCT01582308,Jun-12,2012
NCT01582451,Apr-12,2012
NCT01584232,Apr-12,2012
NCT01584856,May-06,2006
NCT01585818,Aug-11,2011
NCT01585948,Nov-09,2009
NCT01586065,Feb-12,2012
NCT01586442,Mar-12,2012
NCT01587638,Apr-09,2009
NCT01588470,Jun-06,2006
NCT01588743,Oct-08,2008
NCT01589445,Nov-08,2008
NCT01589653,May-12,2012
NCT01589835,Jul-12,2012
NCT01590771,Jul-12,2012
NCT01590797,Jul-12,2012
NCT01590836,Apr-12,2012
NCT01591525,Jun-12,2012
NCT01592539,May-12,2012
NCT01593137,May-12,2012
NCT01593215,May-12,2012
NCT01593371,Jul-11,2011
NCT01593605,Feb-12,2012
NCT01595269,Apr-07,2007
NCT01595789,May-12,2012
NCT01596244,Apr-08,2008
NCT01596504,May-12,2012
NCT01597154,Sep-12,2012
NCT01597531,Jun-12,2012
NCT01600664,Jun-12,2012
NCT01600924,Sep-16,2016
NCT01600937,Oct-12,2012
NCT01600950,May-12,2012
NCT01601574,May-12,2012
NCT01601990,Dec-09,2009
NCT01602003,Dec-09,2009
NCT01602913,Dec-11,2011
NCT01603121,Feb-12,2012
NCT01605149,Jul-12,2012
NCT01605773,8-Nov-01,2001
NCT01606007,Jul-12,2012
NCT01606085,Sep-09,2009
NCT01606371,May-07,2007
NCT01606397,Mar-08,2008
NCT01606904,May-12,2012
NCT01607294,Apr-12,2012
NCT01608425,Apr-11,2011
NCT01608724,Nov-12,2012
NCT01609088,May-12,2012
NCT01609582,Jun-12,2012
NCT01610219,Aug-08,2008
NCT01610674,Jan-09,2009
NCT01610934,Aug-12,2012
NCT01611168,Apr-12,2012
NCT01612468,Jun-12,2012
NCT01612520,Apr-12,2012
NCT01612741,Apr-08,2008
NCT01613105,Apr-08,2008
NCT01613807,Oct-08,2008
NCT01613937,Dec-09,2009
NCT01614769,Jul-12,2012
NCT01614782,Jun-12,2012
NCT01615978,Dec-03,2003
NCT01617304,Dec-11,2011
NCT01617434,Sep-12,2012
NCT01617603,Apr-09,2009
NCT01617824,Sep-12,2012
NCT01618162,Aug-12,2012
NCT01618188,Jun-12,2012
NCT01618214,Jun-12,2012
NCT01619059,Jun-12,2012
NCT01619592,Jun-12,2012
NCT01620125,May-12,2012
NCT01620424,Feb-01,2001
NCT01620489,Jun-12,2012
NCT01621178,Jul-12,2012
NCT01621308,Dec-12,2012
NCT01623388,Jan-13,2013
NCT01624116,Aug-11,2011
NCT01624259,Jun-12,2012
NCT01626053,Mar-09,2009
NCT01626586,May-12,2012
NCT01627184,May-12,2012
NCT01627340,Jul-12,2012
NCT01628445,Aug-12,2012
NCT01629251,Apr-11,2011
NCT01629862,Apr-12,2012
NCT01630369,Feb-12,2012
NCT01630512,May-11,2011
NCT01630759,Jan-12,2012
NCT01630850,May-12,2012
NCT01631084,Apr-12,2012
NCT01631929,Aug-12,2012
NCT01632163,Oct-12,2012
NCT01633177,Sep-10,2010
NCT01633684,Aug-12,2012
NCT01634282,Aug-09,2009
NCT01634997,Jun-12,2012
NCT01637350,Aug-12,2012
NCT01637727,Sep-12,2012
NCT01637935,Jul-04,2004
NCT01638780,May-12,2012
NCT01640834,Jul-12,2012
NCT01640873,Sep-12,2012
NCT01642108,Jul-12,2012
NCT01642394,Sep-11,2011
NCT01643031,Aug-12,2012
NCT01643811,Apr-12,2012
NCT01644500,Jul-12,2012
NCT01645332,Jul-12,2012
NCT01646047,May-12,2012
NCT01646320,Sep-12,2012
NCT01647308,Jul-12,2012
NCT01647542,Oct-12,2012
NCT01648244,Mar-12,2012
NCT01648582,Jul-12,2012
NCT01648985,May-10,2010
NCT01649297,Oct-12,2012
NCT01649466,Aug-12,2012
NCT01649570,Mar-02,2002
NCT01650129,13-Dec-00,2000
NCT01650259,Jul-12,2012
NCT01651117,Sep-12,2012
NCT01652716,Jan-13,2013
NCT01652729,Feb-13,2013
NCT01653210,Aug-12,2012
NCT01653951,Aug-11,2011
NCT01654172,Sep-06,2006
NCT01654341,Dec-13,2013
NCT01655186,Sep-12,2012
NCT01656850,Nov-11,2011
NCT01657227,Jan-13,2013
NCT01658579,Aug-12,2012
NCT01659294,Aug-12,2012
NCT01659697,Aug-12,2012
NCT01661192,Jan-13,2013
NCT01662921,Apr-13,2013
NCT01663207,May-12,2012
NCT01663220,May-12,2012
NCT01663519,Jan-08,2008
NCT01664247,Oct-12,2012
NCT01664624,Jul-12,2012
NCT01665352,Aug-12,2012
